id,start_date,flight,origin,destination,air_time,distance,airport
28,1/1/2019,AA-305,LGA,ORD,143,733,Chicago Ohare Intl
29,1/1/2019,AA-1815,JFK,MCO,142,944,Orlando Intl
30,1/1/2019,DL-1879,LGA,FLL,164,1076,Fort Lauderdale Hollywood Intl
31,1/1/2019,DL-1547,LGA,ATL,126,762,Hartsfield Jackson Atlanta Intl
32,1/1/2019,AA-2279,LGA,MIA,159,1096,Miami Intl
33,1/1/2019,B6-981,JFK,FLL,156,1069,Fort Lauderdale Hollywood Intl
34,1/1/2019,B6-671,JFK,LAX,381,2475,Los Angeles Intl
35,1/1/2019,UA-1092,LGA,ORD,135,733,Chicago Ohare Intl
36,1/1/2019,AA-825,JFK,FLL,159,1069,Fort Lauderdale Hollywood Intl
37,1/1/2019,UA-544,EWR,ORD,156,719,Chicago Ohare Intl
38,1/1/2019,B6-987,JFK,MCO,147,944,Orlando Intl
39,1/1/2019,UA-1111,EWR,MCO,145,937,Orlando Intl
40,1/1/2019,B6-643,JFK,SFO,350,2586,San Francisco Intl
41,1/1/2019,AA-309,LGA,ORD,137,733,Chicago Ohare Intl
42,1/1/2019,AA-33,JFK,LAX,358,2475,Los Angeles Intl
43,1/1/2019,AA-59,JFK,SFO,378,2586,San Francisco Intl
44,1/1/2019,UA-1668,EWR,SFO,373,2565,San Francisco Intl
45,1/1/2019,MQ-3737,EWR,ORD,148,719,Chicago Ohare Intl
46,1/1/2019,DL-2263,LGA,MCO,140,950,Orlando Intl
47,1/1/2019,US-1733,LGA,CLT,96,544,Charlotte Douglas Intl
48,1/1/2019,AA-2267,LGA,MIA,157,1096,Miami Intl
49,1/1/2019,DL-2047,LGA,ATL,126,762,Hartsfield Jackson Atlanta Intl
50,1/1/2019,B6-517,EWR,MCO,142,937,Orlando Intl
51,1/1/2019,DL-1843,JFK,MIA,158,1089,Miami Intl
52,1/1/2019,B6-1172,EWR,BOS,38,200,General Edward Lawrence Logan Intl
53,1/1/2019,AA-1838,JFK,BOS,38,187,General Edward Lawrence Logan Intl
54,1/1/2019,UA-223,JFK,SFO,369,2586,San Francisco Intl
55,1/1/2019,DL-1959,JFK,MCO,147,944,Orlando Intl
56,1/1/2019,B6-219,JFK,CLT,98,541,Charlotte Douglas Intl
57,1/1/2019,B6-3,JFK,FLL,165,1069,Fort Lauderdale Hollywood Intl
58,1/1/2019,DL-269,JFK,ATL,126,760,Hartsfield Jackson Atlanta Intl
59,1/1/2019,MQ-4576,LGA,CLT,118,544,Charlotte Douglas Intl
60,1/1/2019,US-675,EWR,CLT,96,529,Charlotte Douglas Intl
61,1/1/2019,DL-27,JFK,BOS,36,187,General Edward Lawrence Logan Intl
62,1/1/2019,US-487,JFK,CLT,96,541,Charlotte Douglas Intl
63,1/1/2019,AA-443,JFK,MIA,160,1089,Miami Intl
64,1/1/2019,UA-1480,EWR,SFO,357,2565,San Francisco Intl
65,1/1/2019,B6-905,JFK,ORD,160,740,Chicago Ohare Intl
66,1/1/2019,UA-1506,EWR,LAX,359,2454,Los Angeles Intl
67,1/1/2019,UA-443,JFK,LAX,360,2475,Los Angeles Intl
68,1/1/2019,UA-1592,EWR,MCO,145,937,Orlando Intl
69,1/1/2019,AA-313,LGA,ORD,137,733,Chicago Ohare Intl
70,1/1/2019,MQ-4610,LGA,ATL,123,762,Hartsfield Jackson Atlanta Intl
71,1/1/2019,DL-1747,LGA,ATL,129,762,Hartsfield Jackson Atlanta Intl
72,1/1/2019,AA-1,JFK,LAX,358,2475,Los Angeles Intl
73,1/1/2019,DL-2143,LGA,MIA,158,1096,Miami Intl
74,1/1/2019,DL-485,EWR,ATL,125,746,Hartsfield Jackson Atlanta Intl
75,1/1/2019,DL-1885,LGA,MCO,140,950,Orlando Intl
76,1/1/2019,UA-1170,EWR,FLL,161,1065,Fort Lauderdale Hollywood Intl
77,1/1/2019,UA-580,EWR,ORD,145,719,Chicago Ohare Intl
78,1/1/2019,UA-1401,EWR,MIA,158,1085,Miami Intl
79,1/1/2019,AA-647,JFK,MIA,166,1089,Miami Intl
80,1/1/2019,UA-1601,EWR,MIA,159,1085,Miami Intl
81,1/1/2019,B6-41,JFK,MCO,145,944,Orlando Intl
82,1/1/2019,MQ-4582,LGA,CLT,92,544,Charlotte Douglas Intl
83,1/1/2019,DL-120,JFK,LAX,333,2475,Los Angeles Intl
84,1/1/2019,B6-1004,JFK,BOS,38,187,General Edward Lawrence Logan Intl
85,1/1/2019,B6-375,LGA,FLL,161,1076,Fort Lauderdale Hollywood Intl
86,1/1/2019,UA-255,LGA,ORD,154,733,Chicago Ohare Intl
87,1/1/2019,B6-17,JFK,FLL,170,1069,Fort Lauderdale Hollywood Intl
88,1/1/2019,AA-319,LGA,ORD,133,733,Chicago Ohare Intl
89,1/1/2019,MQ-4654,LGA,ATL,129,762,Hartsfield Jackson Atlanta Intl
90,1/1/2019,B6-679,JFK,LAX,352,2475,Los Angeles Intl
91,1/1/2019,UA-222,EWR,LAX,346,2454,Los Angeles Intl
92,1/1/2019,DL-1847,LGA,ATL,129,762,Hartsfield Jackson Atlanta Intl
93,1/1/2019,UA-856,EWR,BOS,37,200,General Edward Lawrence Logan Intl
94,1/1/2019,DL-2379,LGA,FLL,151,1076,Fort Lauderdale Hollywood Intl
95,1/1/2019,US-1177,LGA,CLT,90,544,Charlotte Douglas Intl
96,1/1/2019,B6-503,EWR,FLL,152,1065,Fort Lauderdale Hollywood Intl
97,1/1/2019,MQ-3795,EWR,ORD,131,719,Chicago Ohare Intl
98,1/1/2019,US-1103,EWR,CLT,90,529,Charlotte Douglas Intl
99,1/1/2019,US-1441,JFK,CLT,97,541,Charlotte Douglas Intl
100,1/1/2019,UA-501,EWR,MCO,137,937,Orlando Intl
101,1/1/2019,AA-19,JFK,LAX,356,2475,Los Angeles Intl
102,1/1/2019,AA-179,JFK,SFO,389,2586,San Francisco Intl
103,1/1/2019,UA-1294,EWR,FLL,157,1065,Fort Lauderdale Hollywood Intl
104,1/1/2019,UA-779,EWR,BOS,42,200,General Edward Lawrence Logan Intl
105,1/1/2019,AA-321,LGA,ORD,133,733,Chicago Ohare Intl
106,1/1/2019,UA-985,EWR,ORD,149,719,Chicago Ohare Intl
107,1/1/2019,B6-31,JFK,MCO,142,944,Orlando Intl
108,1/1/2019,B6-373,LGA,FLL,165,1076,Fort Lauderdale Hollywood Intl
109,1/1/2019,DL-1647,LGA,ATL,129,762,Hartsfield Jackson Atlanta Intl
110,1/1/2019,DL-2071,LGA,MIA,155,1096,Miami Intl
111,1/1/2019,UA-688,EWR,SFO,356,2565,San Francisco Intl
112,1/1/2019,AA-2099,LGA,MIA,157,1096,Miami Intl
113,1/1/2019,UA-285,JFK,SFO,364,2586,San Francisco Intl
114,1/1/2019,B6-641,JFK,SFO,349,2586,San Francisco Intl
115,1/1/2019,US-1085,LGA,CLT,94,544,Charlotte Douglas Intl
116,1/1/2019,UA-703,JFK,LAX,357,2475,Los Angeles Intl
117,1/1/2019,AA-327,LGA,ORD,127,733,Chicago Ohare Intl
118,1/1/2019,AA-1623,EWR,MIA,156,1085,Miami Intl
119,1/1/2019,EV-4876,EWR,ATL,126,746,Hartsfield Jackson Atlanta Intl
120,1/1/2019,B6-1,JFK,FLL,167,1069,Fort Lauderdale Hollywood Intl
121,1/1/2019,DL-863,JFK,LAX,330,2475,Los Angeles Intl
122,1/1/2019,B6-1174,EWR,BOS,40,200,General Edward Lawrence Logan Intl
123,1/1/2019,MQ-4658,LGA,ATL,141,762,Hartsfield Jackson Atlanta Intl
124,1/1/2019,AA-3,JFK,LAX,353,2475,Los Angeles Intl
125,1/1/2019,DL-1443,LGA,FLL,160,1076,Fort Lauderdale Hollywood Intl
126,1/1/2019,DL-1947,LGA,ATL,133,762,Hartsfield Jackson Atlanta Intl
127,1/1/2019,UA-1197,EWR,MCO,151,937,Orlando Intl
128,1/1/2019,UA-701,LGA,ORD,142,733,Chicago Ohare Intl
129,1/1/2019,US-1443,JFK,CLT,102,541,Charlotte Douglas Intl
130,1/1/2019,EV-3850,EWR,ATL,142,746,Hartsfield Jackson Atlanta Intl
131,1/1/2019,B6-523,EWR,MCO,139,937,Orlando Intl
132,1/1/2019,EV-4135,EWR,CLT,102,529,Charlotte Douglas Intl
133,1/1/2019,MQ-3697,EWR,ORD,143,719,Chicago Ohare Intl
134,1/1/2019,UA-391,EWR,SFO,345,2565,San Francisco Intl
135,1/1/2019,UA-428,EWR,FLL,156,1065,Fort Lauderdale Hollywood Intl
136,1/1/2019,AA-1850,JFK,BOS,40,187,General Edward Lawrence Logan Intl
137,1/1/2019,AA-2253,LGA,MIA,156,1096,Miami Intl
138,1/1/2019,B6-85,JFK,FLL,173,1069,Fort Lauderdale Hollywood Intl
139,1/1/2019,DL-781,LGA,ATL,132,762,Hartsfield Jackson Atlanta Intl
140,1/1/2019,US-1459,LGA,CLT,100,544,Charlotte Douglas Intl
141,1/1/2019,US-2128,LGA,BOS,38,184,General Edward Lawrence Logan Intl
142,1/1/2019,AA-329,LGA,ORD,147,733,Chicago Ohare Intl
143,1/1/2019,B6-1006,JFK,BOS,40,187,General Edward Lawrence Logan Intl
144,1/1/2019,UA-1435,EWR,MIA,158,1085,Miami Intl
145,1/1/2019,AA-2041,JFK,MIA,163,1089,Miami Intl
146,1/1/2019,US-1615,EWR,CLT,95,529,Charlotte Douglas Intl
147,1/1/2019,B6-393,LGA,MCO,140,950,Orlando Intl
148,1/1/2019,UA-1425,EWR,LAX,334,2454,Los Angeles Intl
149,1/1/2019,DL-2043,JFK,ATL,131,760,Hartsfield Jackson Atlanta Intl
150,1/1/2019,UA-906,EWR,FLL,157,1065,Fort Lauderdale Hollywood Intl
151,1/1/2019,B6-673,JFK,LAX,352,2475,Los Angeles Intl
152,1/1/2019,AA-1073,LGA,MIA,161,1096,Miami Intl
153,1/1/2019,AA-117,JFK,LAX,362,2475,Los Angeles Intl
154,1/1/2019,DL-2068,JFK,BOS,37,187,General Edward Lawrence Logan Intl
155,1/1/2019,B6-1783,JFK,MCO,144,944,Orlando Intl
156,1/1/2019,MQ-4577,LGA,CLT,98,544,Charlotte Douglas Intl
157,1/1/2019,UA-32,EWR,ORD,135,719,Chicago Ohare Intl
158,1/1/2019,UA-617,LGA,ORD,146,733,Chicago Ohare Intl
159,1/1/2019,DL-2247,LGA,ATL,130,762,Hartsfield Jackson Atlanta Intl
160,1/1/2019,B6-505,EWR,FLL,154,1065,Fort Lauderdale Hollywood Intl
161,1/1/2019,UA-683,EWR,ORD,136,719,Chicago Ohare Intl
162,1/1/2019,MQ-3728,EWR,ORD,136,719,Chicago Ohare Intl
163,1/1/2019,B6-1010,JFK,BOS,38,187,General Edward Lawrence Logan Intl
164,1/1/2019,UA-257,JFK,SFO,362,2586,San Francisco Intl
165,1/1/2019,EV-4935,EWR,ATL,132,746,Hartsfield Jackson Atlanta Intl
166,1/1/2019,DL-1322,JFK,SFO,375,2586,San Francisco Intl
167,1/1/2019,AA-1813,JFK,MCO,141,944,Orlando Intl
168,1/1/2019,AA-337,LGA,ORD,147,733,Chicago Ohare Intl
169,1/1/2019,MQ-4669,LGA,ATL,129,762,Hartsfield Jackson Atlanta Intl
170,1/1/2019,AA-1769,JFK,MIA,161,1089,Miami Intl
171,1/1/2019,US-1445,LGA,CLT,96,544,Charlotte Douglas Intl
172,1/1/2019,B6-61,JFK,FLL,162,1069,Fort Lauderdale Hollywood Intl
173,1/1/2019,DL-1467,JFK,LAX,340,2475,Los Angeles Intl
174,1/1/2019,UA-685,LGA,ORD,140,733,Chicago Ohare Intl
175,1/1/2019,US-720,EWR,CLT,97,529,Charlotte Douglas Intl
176,1/1/2019,B6-377,LGA,FLL,167,1076,Fort Lauderdale Hollywood Intl
177,1/1/2019,UA-456,EWR,FLL,156,1065,Fort Lauderdale Hollywood Intl
178,1/1/2019,UA-1687,EWR,MCO,146,937,Orlando Intl
179,1/1/2019,DL-2347,LGA,ATL,135,762,Hartsfield Jackson Atlanta Intl
180,1/1/2019,B6-153,JFK,MCO,142,944,Orlando Intl
181,1/1/2019,EV-4223,EWR,CLT,102,529,Charlotte Douglas Intl
182,1/1/2019,UA-1699,EWR,SFO,348,2565,San Francisco Intl
183,1/1/2019,UA-1593,EWR,MCO,152,937,Orlando Intl
184,1/1/2019,DL-507,LGA,MCO,145,950,Orlando Intl
185,1/1/2019,UA-530,JFK,LAX,356,2475,Los Angeles Intl
186,1/1/2019,UA-1600,EWR,LAX,337,2454,Los Angeles Intl
187,1/1/2019,B6-525,EWR,MCO,152,937,Orlando Intl
188,1/1/2019,AA-1039,JFK,FLL,163,1069,Fort Lauderdale Hollywood Intl
189,1/1/2019,UA-459,EWR,ORD,138,719,Chicago Ohare Intl
190,1/1/2019,US-1665,LGA,CLT,103,544,Charlotte Douglas Intl
191,1/1/2019,DL-4,JFK,MCO,133,944,Orlando Intl
192,1/1/2019,AA-85,JFK,SFO,360,2586,San Francisco Intl
193,1/1/2019,AA-133,JFK,LAX,351,2475,Los Angeles Intl
194,1/1/2019,9E-3338,JFK,ORD,146,740,Chicago Ohare Intl
195,1/1/2019,DL-1942,EWR,ATL,129,746,Hartsfield Jackson Atlanta Intl
196,1/1/2019,UA-80,EWR,MIA,156,1085,Miami Intl
197,1/1/2019,9E-3331,JFK,BOS,41,187,General Edward Lawrence Logan Intl
198,1/1/2019,DL-847,LGA,ATL,131,762,Hartsfield Jackson Atlanta Intl
199,1/1/2019,UA-687,LGA,ORD,143,733,Chicago Ohare Intl
200,1/1/2019,B6-509,EWR,FLL,166,1065,Fort Lauderdale Hollywood Intl
201,1/1/2019,UA-702,EWR,ORD,141,719,Chicago Ohare Intl
202,1/1/2019,B6-917,JFK,ORD,150,740,Chicago Ohare Intl
203,1/1/2019,UA-367,EWR,FLL,162,1065,Fort Lauderdale Hollywood Intl
204,1/1/2019,MQ-4579,LGA,CLT,106,544,Charlotte Douglas Intl
205,1/1/2019,AA-341,LGA,ORD,146,733,Chicago Ohare Intl
206,1/1/2019,UA-465,EWR,BOS,35,200,General Edward Lawrence Logan Intl
207,1/1/2019,AA-1467,LGA,MIA,171,1096,Miami Intl
208,1/1/2019,B6-157,JFK,MCO,137,944,Orlando Intl
209,1/1/2019,DL-1411,JFK,FLL,155,1069,Fort Lauderdale Hollywood Intl
210,1/1/2019,MQ-4661,LGA,ATL,136,762,Hartsfield Jackson Atlanta Intl
211,1/1/2019,DL-95,JFK,ATL,130,760,Hartsfield Jackson Atlanta Intl
212,1/1/2019,B6-675,JFK,LAX,370,2475,Los Angeles Intl
213,1/1/2019,MQ-3695,EWR,ORD,139,719,Chicago Ohare Intl
214,1/1/2019,B6-1176,EWR,BOS,42,200,General Edward Lawrence Logan Intl
215,1/1/2019,AA-1790,JFK,BOS,41,187,General Edward Lawrence Logan Intl
216,1/1/2019,EV-4705,EWR,ATL,139,746,Hartsfield Jackson Atlanta Intl
217,1/1/2019,DL-1807,LGA,FLL,158,1076,Fort Lauderdale Hollywood Intl
218,1/1/2019,DL-31,JFK,SFO,357,2586,San Francisco Intl
219,1/1/2019,UA-1609,EWR,MCO,148,937,Orlando Intl
220,1/1/2019,UA-689,LGA,ORD,144,733,Chicago Ohare Intl
221,1/1/2019,US-1447,LGA,CLT,110,544,Charlotte Douglas Intl
222,1/1/2019,DL-2121,EWR,ATL,121,746,Hartsfield Jackson Atlanta Intl
223,1/1/2019,UA-342,EWR,LAX,334,2454,Los Angeles Intl
224,1/1/2019,B6-1085,JFK,CLT,112,541,Charlotte Douglas Intl
225,1/1/2019,B6-15,JFK,FLL,156,1069,Fort Lauderdale Hollywood Intl
226,1/1/2019,AA-1351,JFK,ORD,146,740,Chicago Ohare Intl
227,1/1/2019,UA-1623,EWR,ORD,143,719,Chicago Ohare Intl
228,1/1/2019,AA-345,LGA,ORD,141,733,Chicago Ohare Intl
229,1/1/2019,DL-513,JFK,LAX,363,2475,Los Angeles Intl
230,1/1/2019,US-449,EWR,CLT,104,529,Charlotte Douglas Intl
231,1/1/2019,AA-543,JFK,MIA,157,1089,Miami Intl
232,1/1/2019,UA-512,JFK,SFO,347,2586,San Francisco Intl
233,1/1/2019,UA-1284,EWR,SFO,360,2565,San Francisco Intl
234,1/1/2019,DL-2139,LGA,MIA,167,1096,Miami Intl
235,1/1/2019,DL-1585,LGA,MCO,145,950,Orlando Intl
236,1/1/2019,B6-527,EWR,MCO,137,937,Orlando Intl
237,1/1/2019,UA-535,JFK,LAX,345,2475,Los Angeles Intl
238,1/1/2019,B6-9,JFK,MCO,141,944,Orlando Intl
239,1/1/2019,B6-391,LGA,MCO,144,950,Orlando Intl
240,1/1/2019,UA-376,EWR,MCO,140,937,Orlando Intl
241,1/1/2019,DL-1047,LGA,ATL,125,762,Hartsfield Jackson Atlanta Intl
242,1/1/2019,B6-1016,JFK,BOS,36,187,General Edward Lawrence Logan Intl
243,1/1/2019,B6-989,JFK,FLL,152,1069,Fort Lauderdale Hollywood Intl
244,1/1/2019,UA-1676,EWR,ORD,135,719,Chicago Ohare Intl
245,1/1/2019,UA-1165,EWR,LAX,340,2454,Los Angeles Intl
246,1/1/2019,US-373,JFK,CLT,100,541,Charlotte Douglas Intl
247,1/1/2019,AA-353,LGA,ORD,138,733,Chicago Ohare Intl
248,1/1/2019,AA-119,EWR,LAX,366,2454,Los Angeles Intl
249,1/1/2019,US-1973,EWR,CLT,106,529,Charlotte Douglas Intl
250,1/1/2019,AA-1611,LGA,MIA,153,1096,Miami Intl
251,1/1/2019,MQ-3730,EWR,ORD,137,719,Chicago Ohare Intl
252,1/1/2019,UA-668,LGA,ORD,123,733,Chicago Ohare Intl
253,1/1/2019,UA-389,JFK,SFO,357,2586,San Francisco Intl
254,1/1/2019,UA-1292,EWR,FLL,149,1065,Fort Lauderdale Hollywood Intl
255,1/1/2019,DL-904,JFK,BOS,34,187,General Edward Lawrence Logan Intl
256,1/1/2019,AA-177,JFK,SFO,361,2586,San Francisco Intl
257,1/1/2019,DL-947,LGA,ATL,135,762,Hartsfield Jackson Atlanta Intl
258,1/1/2019,AA-181,JFK,LAX,336,2475,Los Angeles Intl
259,1/1/2019,B6-155,JFK,MCO,133,944,Orlando Intl
260,1/1/2019,DL-951,JFK,ATL,132,760,Hartsfield Jackson Atlanta Intl
261,1/1/2019,DL-1967,JFK,MIA,150,1089,Miami Intl
262,1/1/2019,DL-2159,JFK,MCO,133,944,Orlando Intl
263,1/1/2019,DL-853,JFK,SFO,361,2586,San Francisco Intl
264,1/1/2019,9E-3359,JFK,ORD,141,740,Chicago Ohare Intl
265,1/1/2019,US-1491,LGA,CLT,107,544,Charlotte Douglas Intl
266,1/1/2019,DL-1485,LGA,MCO,142,950,Orlando Intl
267,1/1/2019,UA-1606,EWR,SFO,351,2565,San Francisco Intl
268,1/1/2019,AA-359,LGA,ORD,136,733,Chicago Ohare Intl
269,1/1/2019,EV-3267,EWR,CLT,105,529,Charlotte Douglas Intl
270,1/1/2019,DL-87,JFK,LAX,332,2475,Los Angeles Intl
271,1/1/2019,AA-21,JFK,LAX,332,2475,Los Angeles Intl
272,1/1/2019,UA-698,EWR,BOS,36,200,General Edward Lawrence Logan Intl
273,1/1/2019,B6-381,LGA,FLL,152,1076,Fort Lauderdale Hollywood Intl
274,1/1/2019,B6-645,JFK,SFO,337,2586,San Francisco Intl
275,1/1/2019,AA-1709,LGA,MIA,159,1096,Miami Intl
276,1/1/2019,UA-1680,EWR,MIA,154,1085,Miami Intl
277,1/1/2019,UA-1271,LGA,ORD,126,733,Chicago Ohare Intl
278,1/1/2019,AA-1762,JFK,BOS,35,187,General Edward Lawrence Logan Intl
279,1/1/2019,B6-47,JFK,FLL,149,1069,Fort Lauderdale Hollywood Intl
280,1/1/2019,DL-1318,JFK,FLL,157,1069,Fort Lauderdale Hollywood Intl
281,1/1/2019,AA-371,LGA,ORD,126,733,Chicago Ohare Intl
282,1/1/2019,UA-994,EWR,BOS,35,200,General Edward Lawrence Logan Intl
283,1/1/2019,UA-1482,EWR,LAX,333,2454,Los Angeles Intl
284,1/1/2019,UA-926,EWR,MCO,136,937,Orlando Intl
285,1/1/2019,B6-399,LGA,MCO,140,950,Orlando Intl
286,1/1/2019,MQ-3744,EWR,ORD,133,719,Chicago Ohare Intl
287,1/1/2019,MQ-4584,LGA,CLT,101,544,Charlotte Douglas Intl
288,1/1/2019,B6-1020,JFK,BOS,34,187,General Edward Lawrence Logan Intl
289,1/1/2019,B6-677,JFK,LAX,323,2475,Los Angeles Intl
290,1/1/2019,UA-1517,EWR,SFO,354,2565,San Francisco Intl
291,1/1/2019,B6-529,EWR,MCO,138,937,Orlando Intl
292,1/1/2019,MQ-4662,LGA,ATL,127,762,Hartsfield Jackson Atlanta Intl
293,1/1/2019,B6-383,LGA,FLL,160,1076,Fort Lauderdale Hollywood Intl
294,1/1/2019,B6-227,EWR,MCO,143,937,Orlando Intl
295,1/1/2019,AA-185,JFK,LAX,338,2475,Los Angeles Intl
296,1/1/2019,UA-1106,EWR,FLL,152,1065,Fort Lauderdale Hollywood Intl
297,1/1/2019,B6-515,EWR,FLL,154,1065,Fort Lauderdale Hollywood Intl
298,1/1/2019,B6-43,JFK,MCO,140,944,Orlando Intl
299,1/1/2019,AA-1999,EWR,MIA,146,1085,Miami Intl
300,1/1/2019,B6-11,JFK,FLL,153,1069,Fort Lauderdale Hollywood Intl
301,1/1/2019,B6-1018,JFK,BOS,37,187,General Edward Lawrence Logan Intl
302,1/1/2019,AA-1925,LGA,MIA,NA,1096,Miami Intl
303,1/1/2019,B6-125,JFK,FLL,NA,1069,Fort Lauderdale Hollywood Intl
304,1/2/2019,US-1030,EWR,CLT,108,529,Charlotte Douglas Intl
305,1/2/2019,AA-1141,JFK,MIA,156,1089,Miami Intl
306,1/2/2019,B6-125,JFK,FLL,156,1069,Fort Lauderdale Hollywood Intl
307,1/2/2019,B6-371,LGA,FLL,159,1076,Fort Lauderdale Hollywood Intl
308,1/2/2019,DL-461,LGA,ATL,128,762,Hartsfield Jackson Atlanta Intl
309,1/2/2019,UA-303,JFK,SFO,341,2586,San Francisco Intl
310,1/2/2019,UA-1077,EWR,MIA,157,1085,Miami Intl
311,1/2/2019,B6-79,JFK,MCO,140,944,Orlando Intl
312,1/2/2019,UA-1280,LGA,ORD,125,733,Chicago Ohare Intl
313,1/2/2019,AA-301,LGA,ORD,118,733,Chicago Ohare Intl
314,1/2/2019,UA-1676,EWR,LAX,341,2454,Los Angeles Intl
315,1/2/2019,UA-421,EWR,SFO,329,2565,San Francisco Intl
316,1/2/2019,DL-1743,JFK,ATL,129,760,Hartsfield Jackson Atlanta Intl
317,1/2/2019,AA-1895,EWR,MIA,151,1085,Miami Intl
318,1/2/2019,B6-507,EWR,FLL,158,1065,Fort Lauderdale Hollywood Intl
319,1/2/2019,DL-575,EWR,ATL,124,746,Hartsfield Jackson Atlanta Intl
320,1/2/2019,UA-1141,JFK,LAX,354,2475,Los Angeles Intl
321,1/2/2019,US-1567,JFK,CLT,106,541,Charlotte Douglas Intl
322,1/2/2019,AA-1837,LGA,MIA,155,1096,Miami Intl
323,1/2/2019,MQ-4650,LGA,ATL,138,762,Hartsfield Jackson Atlanta Intl
324,1/2/2019,MQ-4576,LGA,CLT,106,544,Charlotte Douglas Intl
325,1/2/2019,US-1019,EWR,CLT,103,529,Charlotte Douglas Intl
326,1/2/2019,DL-1879,LGA,FLL,166,1076,Fort Lauderdale Hollywood Intl
327,1/2/2019,UA-387,EWR,LAX,325,2454,Los Angeles Intl
328,1/2/2019,AA-303,LGA,ORD,123,733,Chicago Ohare Intl
329,1/2/2019,B6-1002,JFK,BOS,34,187,General Edward Lawrence Logan Intl
330,1/2/2019,EV-3831,EWR,ATL,138,746,Hartsfield Jackson Atlanta Intl
331,1/2/2019,B6-389,LGA,MCO,142,950,Orlando Intl
332,1/2/2019,US-1433,LGA,CLT,109,544,Charlotte Douglas Intl
333,1/2/2019,UA-785,EWR,BOS,34,200,General Edward Lawrence Logan Intl
334,1/2/2019,US-926,EWR,CLT,102,529,Charlotte Douglas Intl
335,1/2/2019,UA-392,EWR,MCO,141,937,Orlando Intl
336,1/2/2019,DL-1865,JFK,SFO,323,2586,San Francisco Intl
337,1/2/2019,UA-1701,EWR,FLL,168,1065,Fort Lauderdale Hollywood Intl
338,1/2/2019,AA-1815,JFK,MCO,144,944,Orlando Intl
339,1/2/2019,DL-763,JFK,LAX,317,2475,Los Angeles Intl
340,1/2/2019,DL-2003,LGA,MIA,161,1096,Miami Intl
341,1/2/2019,B6-981,JFK,FLL,162,1069,Fort Lauderdale Hollywood Intl
342,1/2/2019,EV-4471,EWR,CLT,102,529,Charlotte Douglas Intl
343,1/2/2019,AA-305,LGA,ORD,122,733,Chicago Ohare Intl
344,1/2/2019,AA-2279,LGA,MIA,163,1096,Miami Intl
345,1/2/2019,MQ-3737,EWR,ORD,115,719,Chicago Ohare Intl
346,1/2/2019,AA-443,JFK,MIA,160,1089,Miami Intl
347,1/2/2019,B6-671,JFK,LAX,327,2475,Los Angeles Intl
348,1/2/2019,DL-1547,LGA,ATL,125,762,Hartsfield Jackson Atlanta Intl
349,1/2/2019,UA-1223,LGA,ORD,127,733,Chicago Ohare Intl
350,1/2/2019,AA-825,JFK,FLL,161,1069,Fort Lauderdale Hollywood Intl
351,1/2/2019,B6-987,JFK,MCO,144,944,Orlando Intl
352,1/2/2019,UA-223,JFK,SFO,341,2586,San Francisco Intl
353,1/2/2019,MQ-3768,EWR,ORD,112,719,Chicago Ohare Intl
354,1/2/2019,UA-393,EWR,ORD,114,719,Chicago Ohare Intl
